Time,MOS,BW,RTT,JIT,DJB,SNR
1,4.492027,89.024,0,72,63,15
2,4.492027,82.176,0,72,63,15
3,4.492027,89.024,0,72,63,15
4,4.482136,82.176,0,61,63,20
5,4.482136,89.024,0,61,63,20
6,4.482136,83.888,0,61,63,20
7,4.482136,83.888,0,61,63,20
8,4.482136,82.176,0,61,63,20
9,4.456768,85.6,159,65,43,15
10,4.456768,82.176,159,65,43,15
11,4.456768,89.024,159,65,43,15
12,4.456768,83.888,159,65,43,15
13,4.456768,87.312,159,65,43,15
14,4.384864,78.752,120,77,112,1
15,4.384864,89.024,120,77,112,1
16,4.384864,83.888,120,77,112,1
17,4.384864,87.312,120,77,112,1
18,4.384864,82.176,120,63,92,6
19,4.384864,87.312,120,63,92,6
20,4.384864,83.888,120,63,92,6
21,4.384864,87.312,120,63,92,6
22,4.362723,85.6,132,69,72,28
23,4.362723,85.6,132,69,72,28
24,4.362723,82.176,132,69,72,28
25,4.362723,89.024,132,69,72,28
26,4.362723,83.888,132,69,72,28
27,4.362723,83.888,132,69,72,28
28,4.362723,75.328,132,69,72,28
29,4.313737,89.024,160,103,192,27
30,4.313737,83.888,160,103,192,27
31,4.313737,89.024,160,103,192,27
32,4.313737,82.176,160,103,192,27
33,4.313737,87.312,160,103,192,27
34,4.313737,82.176,160,103,192,27
35,4.286976,89.024,139,72,172,28
36,4.286976,82.176,139,72,172,28
37,4.286976,89.024,139,72,172,28
38,4.286976,83.888,139,72,172,28
39,4.258759,85.6,118,73,152,29
40,4.258759,83.888,118,73,152,29
41,4.258759,89.024,118,73,152,29
42,4.286976,82.176,118,75,152,2
43,4.286976,87.312,118,75,152,2
44,4.286976,82.176,118,75,152,2
45,4.286976,89.024,111,76,132,1
46,4.286976,83.888,111,76,132,1
47,4.286976,85.6,111,76,132,1
48,4.286976,82.176,111,76,132,1
49,4.286976,82.176,111,76,132,1
50,4.286976,89.024,320,94,200,0
51,4.286976,83.888,320,94,200,0
52,4.286976,85.6,320,94,200,0
53,4.286976,85.6,320,94,200,0
54,4.286976,82.176,320,94,200,0
55,4.286976,82.176,320,94,200,0
56,4.258759,89.024,109,90,180,27
57,4.258759,85.6,109,90,180,27
58,4.258759,83.888,109,90,180,27
59,4.258759,89.024,109,90,180,27
60,4.258759,82.176,109,90,180,27
61,4.258759,82.176,109,90,180,27
62,4.258759,89.024,138,111,250,10
63,4.258759,89.024,138,111,250,10
64,4.258759,82.176,138,111,250,10
65,4.165792,83.888,369,94,250,10
66,4.165792,82.176,369,94,250,10
67,4.165792,89.024,369,94,250,10
68,4.165792,82.176,369,94,250,10
69,4.165792,83.888,369,94,250,10
70,4.165792,87.312,139,97,250,33
71,4.165792,89.024,139,97,250,33
72,4.165792,80.464,139,97,250,33
73,4.165792,89.024,139,97,250,33
74,4.165792,82.176,139,97,250,33
75,4.165792,85.6,150,95,230,29
76,4.165792,82.176,150,95,230,29
77,4.165792,89.024,150,95,230,29
78,4.165792,82.176,150,95,230,29
79,4.165792,89.024,118,70,210,11
80,4.165792,82.176,118,70,210,11
81,4.165792,87.312,118,70,210,11
82,4.165792,82.176,118,70,210,11
83,4.165792,85.6,118,70,210,11
84,4.165792,82.176,118,70,210,11
85,4.165792,89.024,118,70,210,11
86,4.165792,82.176,178,96,190,10
87,4.165792,89.024,178,96,190,10
88,4.165792,82.176,178,96,190,10
89,4.165792,61.632,178,96,190,10
90,4.165792,109.568,178,96,190,10
91,4.165792,87.312,138,92,170,10
92,4.165792,85.6,138,92,170,10
93,4.165792,83.888,138,92,170,10
94,4.165792,85.6,139,96,150,3
95,4.165792,87.312,139,96,150,3
96,4.165792,83.888,139,96,150,3
97,4.165792,87.312,139,96,150,3
98,4.198125,85.6,160,81,150,1
99,4.198125,85.6,160,81,150,1
100,4.198125,80.464,160,81,150,1
101,4.198125,87.312,160,81,150,1
102,4.198125,82.176,160,81,150,1
103,4.198125,82.176,119,85,130,4
104,4.198125,82.176,119,85,130,4
105,4.198125,87.312,119,85,130,4
106,4.198125,82.176,119,85,130,4
107,4.198125,89.024,119,85,130,4
108,4.198125,80.464,159,95,130,1
109,4.198125,89.024,159,95,130,1
110,4.198125,77.04,159,95,130,1
111,4.198125,89.024,159,95,130,1
112,4.198125,83.888,150,84,110,1
113,4.198125,82.176,150,84,110,1
114,4.198125,83.888,150,84,110,1
115,4.198125,89.024,150,84,110,1
116,4.198125,82.176,150,84,110,1
117,4.165792,89.024,150,103,110,2
118,4.165792,82.176,150,103,110,2
119,4.165792,89.024,150,103,110,2
120,4.165792,82.176,150,103,110,2
121,4.165792,83.888,150,103,110,2
122,4.198125,82.176,109,65,90,2
123,4.198125,89.024,109,65,90,2
124,4.198125,82.176,109,65,90,2
125,4.198125,87.312,109,65,90,2
126,4.165792,82.176,139,96,70,4
127,4.165792,89.024,139,96,70,4
128,4.165792,82.176,139,96,70,4
129,4.165792,85.6,139,96,70,4
130,4.165792,82.176,139,96,70,4
131,4.165792,89.024,139,96,70,4
132,4.165792,80.464,139,96,70,4
133,4.165792,89.024,149,83,79,4
134,4.165792,85.6,149,83,79,4
135,4.165792,85.6,149,83,79,4
136,4.165792,82.176,149,83,79,4
137,4.165792,89.024,149,83,79,4
138,4.165792,80.464,149,83,79,4
139,4.165792,89.024,119,113,100,18
140,4.165792,82.176,119,113,100,18
141,4.165792,87.312,119,113,100,18
142,4.165792,87.312,119,113,100,18
143,4.165792,83.888,130,90,100,2
144,4.165792,82.176,130,90,100,2
145,4.165792,89.024,130,90,100,2
146,4.165792,82.176,130,90,100,2
147,4.165792,87.312,130,90,100,2
148,4.165792,83.888,130,90,100,2
149,4.165792,87.312,130,90,100,2
150,4.165792,82.176,150,104,100,2
151,4.165792,89.024,150,104,100,2
152,4.165792,82.176,150,104,100,2
153,4.165792,89.024,150,104,100,2
154,4.165792,78.752,118,77,80,2
155,4.165792,89.024,118,77,80,2
156,4.165792,78.752,118,77,80,2
157,4.165792,83.888,118,77,80,2
158,4.165792,82.176,118,77,80,2
159,4.165792,89.024,140,93,161,19
160,4.165792,85.6,140,93,161,19
161,4.165792,80.464,140,93,161,19
162,4.165792,83.888,140,93,161,19
163,4.165792,85.6,140,93,161,19
164,4.165792,77.04,160,79,141,3
165,4.165792,87.312,160,79,141,3
166,4.165792,82.176,160,79,141,3
167,4.165792,89.024,160,79,141,3
168,4.165792,77.04,160,79,141,3
169,4.165792,87.312,160,79,141,3
170,4.165792,82.176,160,107,121,20
171,4.165792,94.16,160,107,121,20
172,4.165792,68.48,160,107,121,20
173,4.165792,101.008,160,107,121,20
174,4.165792,82.176,211,131,101,10
175,4.165792,70.192,211,131,101,10
176,4.165792,89.024,211,131,101,10
177,4.165792,99.296,211,131,101,10
178,4.165792,83.888,211,131,101,10
179,4.165792,82.176,300,147,220,24
180,4.165792,75.328,300,147,220,24
181,4.165792,99.296,300,147,220,24
182,4.165792,83.888,199,121,200,26
183,4.165792,73.616,199,121,200,26
184,4.165792,75.328,199,121,200,26
185,4.165792,85.6,199,121,200,26
186,4.165792,95.872,199,121,200,26
187,4.165792,68.48,199,121,200,26
188,4.165792,101.008,149,138,200,23
189,4.165792,73.616,149,138,200,23
190,4.165792,95.872,149,138,200,23
191,4.165792,68.48,149,138,200,23
192,4.165792,68.48,149,138,200,23
193,4.165792,89.024,149,138,200,23
194,4.165792,94.16,280,144,180,23
195,4.165792,99.296,280,144,180,23
196,4.165792,71.904,280,144,180,23
197,4.165792,101.008,280,144,180,23
198,4.165792,82.176,280,144,180,23
199,4.165792,89.024,370,117,160,13
200,4.165792,78.752,370,117,160,13
201,4.165792,87.312,370,117,160,13
202,4.165792,83.888,370,117,160,13
203,4.165792,87.312,370,117,160,13
204,4.165792,82.176,370,117,160,13
205,4.165792,87.312,131,93,144,14
206,4.165792,82.176,131,93,144,14
207,4.165792,89.024,131,93,144,14
208,4.165792,82.176,131,93,144,14
209,4.165792,87.312,131,93,144,14
210,4.165792,83.888,131,93,144,14
211,4.165792,87.312,131,93,144,14
212,4.165792,82.176,170,80,124,2
213,4.165792,89.024,170,80,124,2
214,4.165792,82.176,170,80,124,2
215,4.165792,85.6,170,80,124,2
216,4.165792,82.176,139,85,104,18
217,4.165792,89.024,139,85,104,18
218,4.165792,82.176,139,85,104,18
219,4.198125,87.312,130,86,84,1
220,4.198125,82.176,130,86,84,1
221,4.198125,89.024,130,86,84,1
222,4.198125,82.176,130,86,84,1
223,4.198125,89.024,130,86,84,1
224,4.198125,82.176,119,83,64,5
225,4.198125,89.024,119,83,64,5
226,4.198125,83.888,119,83,64,5
227,4.198125,85.6,119,83,64,5
228,4.198125,82.176,119,83,64,5
229,4.198125,89.024,119,83,64,5
230,4.198125,80.464,149,82,44,0
231,4.198125,89.024,149,82,44,0
232,4.198125,82.176,149,82,44,0
233,4.198125,89.024,149,82,44,0
234,4.198125,82.176,149,82,44,0
235,4.198125,89.024,131,82,47,12
236,4.198125,82.176,131,82,47,12
237,4.198125,89.024,131,82,47,12
238,4.198125,85.6,131,82,47,12
239,4.198125,85.6,179,82,40,26
240,4.198125,80.464,179,82,40,26
241,4.198125,89.024,179,82,40,26
242,4.198125,85.6,179,82,40,26
243,4.198125,85.6,179,82,40,26
244,4.198125,82.176,132,80,40,8
245,4.198125,89.024,132,80,40,8
246,4.198125,80.464,132,80,40,8
247,4.198125,89.024,132,80,40,8
248,4.198125,82.176,140,100,158,8
249,4.198125,87.312,140,100,158,8
250,4.198125,82.176,140,100,158,8
251,4.198125,89.024,140,100,158,8
252,4.198125,82.176,140,100,158,8
253,4.198125,89.024,139,87,138,24
254,4.198125,82.176,139,87,138,24
255,4.198125,89.024,139,87,138,24
256,4.198125,82.176,139,87,138,24
257,4.198125,87.312,139,87,138,24
258,4.198125,78.752,139,87,138,24
259,4.198125,89.024,139,87,138,24
260,4.198125,82.176,151,90,149,5
261,4.198125,89.024,151,90,149,5
262,4.198125,82.176,151,90,149,5
263,4.198125,85.6,151,90,149,5
264,4.198125,77.04,131,74,129,5
265,4.198125,89.024,131,74,129,5
266,4.198125,82.176,131,74,129,5
267,4.198125,89.024,131,74,129,5
268,4.198125,82.176,131,74,129,5
269,4.198125,80.464,120,80,109,8
270,4.198125,87.312,120,80,109,8
271,4.198125,89.024,120,80,109,8
272,4.198125,80.464,120,80,109,8
273,4.198125,87.312,231,94,109,5
274,4.198125,82.176,231,94,109,5
275,4.198125,89.024,231,94,109,5
276,4.198125,82.176,231,94,109,5
277,4.198125,85.6,231,94,109,5
278,4.198125,82.176,169,84,89,5
279,4.198125,89.024,169,84,89,5
280,4.198125,82.176,169,84,89,5
281,4.198125,89.024,169,84,89,5
282,4.198125,82.176,169,84,89,5
283,4.198125,85.6,169,84,89,5
284,4.198125,80.464,169,84,89,5
285,4.198125,83.888,169,78,69,0
286,4.198125,82.176,169,78,69,0
287,4.198125,87.312,169,78,69,0
288,4.198125,80.464,169,78,69,0
289,4.198125,85.6,169,78,69,0
290,4.198125,77.04,300,85,69,2
291,4.198125,85.6,300,85,69,2
292,4.198125,77.04,300,85,69,2
293,4.198125,89.024,300,85,69,2
294,4.198125,77.04,300,85,69,2
295,4.198125,82.176,300,85,69,2
296,4.198125,77.04,140,77,49,2
297,4.198125,94.16,140,77,49,2
298,4.198125,82.176,140,77,49,2
299,4.198125,85.6,140,80,180,1
300,4.198125,78.752,140,80,180,1
301,4.198125,89.024,140,80,180,1
302,4.198125,80.464,140,80,180,1
303,4.198125,82.176,140,80,180,1
