Time,MOS,BW,RTT,JIT,DJB,SNR
1,4.482136,34.8,0,74,40,10
2,4.482136,34.8,0,74,40,10
3,4.482136,34.104,0,74,40,10
4,4.482136,35.496,0,74,40,10
5,4.482136,34.104,0,74,40,10
6,4.456768,35.496,131,73,40,10
7,4.456768,34.104,131,73,40,10
8,4.456768,35.496,131,73,40,10
9,4.456768,34.104,131,73,40,10
10,4.456768,35.496,131,73,40,10
11,4.456768,34.104,131,73,40,10
12,4.424232,35.496,120,80,71,11
13,4.424232,34.104,120,80,71,11
14,4.424232,35.496,120,80,71,11
15,4.424232,34.104,120,80,71,11
16,4.424232,35.496,120,80,71,11
17,4.424232,34.104,120,80,71,11
18,4.424232,35.496,119,74,51,15
19,4.424232,34.8,119,74,51,15
20,4.424232,34.8,119,74,51,15
21,4.424232,34.104,119,74,51,15
22,4.424232,35.496,119,74,51,15
23,4.424232,34.104,120,79,51,18
24,4.424232,35.496,120,79,51,18
25,4.424232,34.104,120,79,51,18
26,4.424232,35.496,120,79,51,18
27,4.424232,34.104,120,79,51,18
28,4.424232,35.496,120,79,51,18
29,4.424232,34.104,138,75,40,7
30,4.424232,35.496,138,75,40,7
31,4.424232,34.104,138,75,40,7
32,4.424232,35.496,138,75,40,7
33,4.424232,34.104,138,75,40,7
34,4.424232,35.496,138,75,40,7
35,4.405381,34.104,127,75,61,2
36,4.405381,35.496,127,75,61,2
37,4.405381,34.104,127,75,61,2
38,4.405381,35.496,127,75,61,2
39,4.405381,34.104,127,75,61,2
40,4.405381,35.496,127,75,61,2
41,4.405381,34.104,127,75,61,2
42,4.405381,35.496,127,77,50,14
43,4.405381,34.104,127,77,50,14
44,4.405381,34.8,127,77,50,14
45,4.405381,34.8,127,77,50,14
46,4.405381,34.8,127,77,50,14
47,4.405381,34.8,130,80,40,4
48,4.405381,34.8,130,80,40,4
49,4.405381,34.8,130,80,40,4
50,4.405381,34.8,130,80,40,4
51,4.405381,34.104,130,80,40,4
52,4.405381,35.496,130,77,50,3
53,4.405381,34.104,130,77,50,3
54,4.405381,35.496,130,77,50,3
55,4.405381,34.8,130,77,50,3
56,4.405381,34.8,130,77,50,3
57,4.405381,34.8,130,77,50,3
58,4.405381,34.8,130,77,50,3
59,4.405381,34.8,130,77,50,3
60,4.405381,34.8,139,74,40,13
61,4.405381,34.8,139,74,40,13
62,4.405381,34.8,139,74,40,13
63,4.405381,34.104,139,74,40,13
64,4.405381,35.496,139,74,40,13
65,4.405381,34.104,139,74,40,13
66,4.405381,35.496,139,74,40,13
67,4.405381,34.104,110,72,49,4
68,4.405381,35.496,110,72,49,4
69,4.405381,32.712,110,72,49,4
70,4.405381,36.888,110,72,49,4
71,4.405381,34.8,110,72,49,4
72,4.405381,34.8,110,72,49,4
73,4.405381,34.8,110,72,49,4
74,4.405381,34.8,110,72,49,4
75,4.405381,34.8,139,67,40,11
76,4.405381,34.8,139,67,40,11
77,4.405381,34.104,139,67,40,11
78,4.405381,35.496,139,67,40,11
79,4.405381,34.8,139,67,40,11
80,4.405381,34.8,139,67,40,11
81,4.405381,34.8,139,67,40,11
82,4.405381,34.8,139,67,40,11
83,4.405381,34.104,139,64,40,7
84,4.405381,35.496,139,64,40,7
85,4.405381,34.8,139,64,40,7
86,4.405381,34.8,139,64,40,7
87,4.405381,34.104,139,64,40,7
88,4.405381,35.496,139,64,40,7
89,4.405381,34.8,139,64,40,7
90,4.405381,34.8,139,64,40,7
91,4.405381,34.8,129,71,69,6
92,4.405381,34.8,129,71,69,6
93,4.405381,34.8,129,71,69,6
94,4.405381,34.8,129,71,69,6
95,4.405381,34.8,119,65,49,10
96,4.405381,34.8,119,65,49,10
97,4.405381,34.8,119,65,49,10
98,4.405381,34.8,119,65,49,10
