Time,MOS,BW,RTT,JIT,DJB,SNR
1,4.482136,33.296,0,155,60,22
2,4.482136,21.912,0,155,60,22
3,4.482136,27.696,0,155,60,22
4,4.482136,29.936,0,155,60,22
5,4.470369,31.016,130,170,40,31
6,4.470369,29.648,130,170,40,31
7,4.470369,31.016,130,170,40,31
8,4.470369,31.992,130,170,40,31
9,4.470369,31.112,130,170,40,31
10,4.470369,30.52,130,170,40,31
11,4.470369,33.264,130,170,40,31
12,4.384864,30.144,159,159,40,29
13,4.384864,27.368,159,159,40,29
14,4.384864,35.92,159,159,40,29
15,4.384864,34.944,159,159,40,29
16,4.384864,32.544,159,159,40,29
17,4.384864,25.44,169,160,40,27
18,4.384864,26.712,169,160,40,27
19,4.384864,33.728,169,160,40,27
20,4.384864,34.496,169,160,40,27
21,4.384864,32.456,169,160,40,27
22,4.384864,31.816,169,160,40,27
23,4.384864,30.128,169,160,40,27
24,4.362723,29.344,139,131,40,18
25,4.362723,30.272,139,131,40,18
26,4.362723,29.8,139,131,40,18
27,4.362723,30.144,139,131,40,18
28,4.362723,30.728,139,131,40,18
29,4.362723,30.384,139,131,40,18
30,4.362723,30.008,139,169,128,11
31,4.362723,26.784,139,169,128,11
32,4.362723,29.528,139,169,128,11
33,4.362723,31.672,139,169,128,11
34,4.362723,28.24,139,169,128,11
35,4.384864,23.688,139,140,108,25
36,4.384864,33.584,139,140,108,25
37,4.384864,34.352,139,140,108,25
38,4.384864,32.648,139,140,108,25
39,4.384864,31.32,159,185,131,25
40,4.384864,29.896,159,185,131,25
41,4.384864,25.024,159,185,131,25
42,4.384864,31.672,159,185,131,25
43,4.384864,29.544,159,185,131,25
44,4.384864,30.856,159,185,131,25
45,4.384864,24.672,159,185,131,25
46,4.384864,24.84,159,185,131,25
47,4.384864,31.48,159,185,131,25
48,4.384864,35.44,131,155,91,20
49,4.384864,32.024,131,155,91,20
50,4.384864,26.016,131,155,91,20
51,4.384864,28.288,131,155,91,20
52,4.384864,22.504,131,155,91,20
53,4.384864,27.616,140,161,91,20
54,4.384864,34.232,140,161,91,20
55,4.384864,27.744,140,161,91,20
56,4.384864,18.816,140,161,91,20
57,4.384864,30.872,140,161,91,20
58,4.362723,33.472,160,134,71,18
59,4.362723,20.872,160,134,71,18
60,4.362723,27.768,160,134,71,18
61,4.362723,31.296,160,134,71,18
62,4.362723,29.52,160,134,71,18
63,4.362723,33.192,148,140,51,27
64,4.362723,26.736,148,140,51,27
65,4.362723,29.44,148,140,51,27
66,4.362723,27.72,148,140,51,27
67,4.362723,29.688,148,140,51,27
68,4.362723,29.672,148,140,51,27
69,4.362723,30.456,148,140,51,27
70,4.362723,30.28,159,136,40,27
71,4.362723,33.072,159,136,40,27
72,4.362723,25.888,159,136,40,27
73,4.362723,25.848,159,136,40,27
74,4.362723,36.88,159,136,40,27
75,4.362723,24.624,159,136,40,27
76,4.362723,29.72,159,136,40,27
77,4.362723,29.384,159,136,40,27
78,4.362723,29.384,159,145,40,20
79,4.362723,29.544,159,145,40,20
80,4.362723,30.536,159,145,40,20
81,4.362723,26.904,159,145,40,20
82,4.362723,30.616,159,145,40,20
83,4.362723,28.632,179,139,40,20
84,4.362723,30.496,179,139,40,20
85,4.362723,27.504,179,139,40,20
86,4.362723,27.744,179,139,40,20
87,4.362723,33.12,179,139,40,20
88,4.362723,35.624,179,139,40,20
89,4.362723,34.112,179,124,40,18
90,4.362723,32.752,179,124,40,18
91,4.362723,25.36,179,124,40,18
92,4.362723,24.904,179,124,40,18
93,4.362723,24.64,179,124,40,18
94,4.362723,34.936,208,113,40,14
95,4.362723,27.76,208,113,40,14
96,4.362723,25.16,208,113,40,14
97,4.362723,29.232,208,113,40,14
98,4.362723,30.944,208,113,40,14
99,4.362723,29.384,208,127,40,31
100,4.362723,30.44,208,127,40,31
101,4.362723,28.544,208,127,40,31
102,4.362723,29.176,208,127,40,31
103,4.362723,28.656,208,127,40,31
104,4.362723,30.256,208,127,40,31
105,4.339,28.192,210,238,250,32
106,4.339,26.848,210,238,250,32
107,4.339,31.536,210,238,250,32
108,4.339,28.944,210,238,250,32
109,4.339,29.4,210,306,250,32
110,4.339,29.096,210,306,250,32
111,4.339,34.376,210,306,250,32
112,4.339,33.512,210,306,250,32
113,4.339,33.048,210,306,250,32
114,4.339,31.864,151,154,250,22
115,4.339,31.704,151,154,250,22
116,4.339,31.176,151,154,250,22
117,4.339,30.808,151,154,250,22
118,4.339,29.888,151,154,250,22
119,4.339,29.104,151,154,250,22
120,4.339,31.48,201,118,230,7
121,4.339,29.816,201,118,230,7
122,4.339,29.232,201,118,230,7
123,4.339,32.608,201,118,230,7
124,4.339,29.912,201,118,230,7
125,4.339,29.328,201,118,230,7
126,4.339,31.392,201,118,230,7
127,4.339,29.928,140,146,190,7
128,4.339,31.736,140,146,190,7
