Time,MOS,BW,RTT,JIT,DJB,SNR
1,4.470369,42.52,0,538,82,23
2,4.470369,40.552,0,538,82,23
3,4.470369,43.224,0,538,82,23
4,4.470369,39.904,0,538,82,23
5,4.470369,42.376,0,538,82,23
6,4.470369,40.44,0,538,82,23
7,4.470369,42.584,112,500,62,24
8,4.470369,40.856,112,500,62,24
9,4.470369,42.392,112,500,62,24
10,4.456768,41.576,112,473,42,19
11,4.456768,42.64,112,473,42,19
12,4.456768,41.792,112,473,42,19
13,4.456768,41.36,112,473,42,19
14,4.456768,40.304,147,491,68,29
15,4.456768,43.504,147,491,68,29
16,4.456768,40.264,147,491,68,29
17,4.456768,42.176,147,491,68,29
18,4.456768,41.024,147,491,68,29
19,4.441375,42.728,112,429,48,24
20,4.441375,41.088,112,429,48,24
21,4.441375,42.504,112,429,48,24
22,4.441375,40.976,112,429,48,24
23,4.441375,42.248,112,429,48,24
24,4.441375,40.936,112,429,48,24
25,4.441375,41.224,122,488,48,29
26,4.441375,42.544,122,488,48,29
27,4.441375,42.616,122,488,48,29
28,4.441375,41.344,122,488,48,29
29,4.441375,41.432,122,488,48,29
30,4.441375,40.544,122,488,48,29
31,4.441375,41.32,120,466,40,20
32,4.441375,41.872,120,466,40,20
33,4.441375,42.272,120,466,40,20
34,4.441375,40.976,120,466,40,20
35,4.441375,42.744,121,546,154,24
36,4.441375,40.456,121,546,154,24
37,4.441375,39.288,121,546,154,24
38,4.441375,43.168,121,546,154,24
39,4.441375,42.792,121,546,154,24
40,4.441375,40.672,110,431,134,21
41,4.441375,42.192,110,431,134,21
42,4.441375,41.008,110,431,134,21
43,4.441375,43.04,110,431,134,21
44,4.441375,41.096,110,431,134,21
45,4.441375,41.736,110,431,134,21
46,4.424232,40.552,115,463,114,18
47,4.424232,42.536,115,463,114,18
48,4.424232,40.64,115,463,114,18
49,4.424232,42.6,115,463,114,18
50,4.424232,41.448,115,463,114,18
51,4.424232,41.696,132,404,94,24
52,4.424232,40.464,132,404,94,24
53,4.424232,42.672,132,404,94,24
54,4.424232,34.872,132,404,94,24
55,4.424232,47.944,132,404,94,24
56,4.424232,42.112,132,404,94,24
57,4.424232,41.456,129,464,74,21
58,4.424232,41.656,129,464,74,21
59,4.424232,41.288,129,464,74,21
60,4.424232,41.888,129,464,74,21
61,4.424232,42.4,129,464,74,21
62,4.424232,40.848,129,464,74,21
63,4.424232,42.792,129,464,74,21
64,4.424232,32.944,111,452,54,14
65,4.424232,49.84,111,452,54,14
66,4.424232,40.72,111,452,54,14
67,4.424232,42.52,111,452,54,14
68,4.424232,40.488,111,452,54,14
69,4.424232,41.896,111,452,54,14
70,4.424232,41.816,113,410,40,18
71,4.424232,42.592,113,410,40,18
72,4.424232,40.704,113,410,40,18
73,4.424232,42.36,113,410,40,18
74,4.424232,41.616,113,410,40,18
75,4.424232,41.76,113,410,40,18
76,4.424232,41.936,113,410,40,18
77,4.424232,41.168,119,400,40,16
78,4.424232,41.808,119,400,40,16
79,4.424232,41.256,119,400,40,16
80,4.424232,40.304,119,400,40,16
81,4.424232,42.624,119,400,40,16
82,4.424232,41.264,119,400,40,16
83,4.424232,42.344,121,403,40,20
84,4.424232,40.248,121,403,40,20
85,4.424232,42.016,121,403,40,20
86,4.424232,41.104,121,403,40,20
87,4.424232,42.328,121,403,40,20
88,4.424232,40.464,120,431,51,17
89,4.424232,42.632,120,431,51,17
90,4.424232,40.112,120,431,51,17
91,4.424232,39.664,120,431,51,17
92,4.424232,33.448,120,431,51,17
93,4.424232,52.176,120,431,51,17
94,4.405381,37.808,372,706,250,21
95,4.405381,44.448,372,706,250,21
96,4.405381,38.216,372,706,250,21
97,4.405381,36.488,372,706,250,21
98,4.405381,42.664,372,706,250,21
99,4.405381,39.072,372,706,250,21
100,4.405381,46.728,248,596,250,23
101,4.405381,46.096,248,596,250,23
102,4.405381,41.768,248,596,250,23
103,4.405381,38.464,248,596,250,23
104,4.405381,44.152,248,596,250,23
105,4.384864,41.056,382,422,230,24
106,4.384864,40.864,382,422,230,24
107,4.384864,42.544,382,422,230,24
108,4.384864,43.4,382,422,230,24
109,4.384864,39.688,382,422,230,24
110,4.384864,43.728,382,422,230,24
111,4.384864,42.4,382,422,230,24
112,4.384864,41.512,180,405,190,21
113,4.384864,42.12,180,405,190,21
114,4.384864,40.44,180,405,190,21
115,4.384864,42.872,180,405,190,21
116,4.384864,41.568,180,405,190,21
117,4.384864,42.136,180,405,190,21
118,4.384864,40.416,149,393,170,19
119,4.384864,42.584,149,393,170,19
120,4.384864,41.2,149,393,170,19
121,4.384864,40.728,149,393,170,19
122,4.384864,41.096,149,393,170,19
123,4.384864,41.816,139,369,150,17
124,4.384864,38.128,139,369,150,17
125,4.384864,44.112,139,369,150,17
126,4.384864,41.608,139,369,150,17
127,4.384864,41.984,139,369,150,17
128,4.384864,40.52,139,369,150,17
129,4.384864,42.24,139,369,150,17
130,4.384864,40.264,130,405,130,2
131,4.384864,42.408,130,405,130,2
132,4.384864,40.92,130,405,130,2
133,4.384864,41.6,130,405,130,2
134,4.384864,41.664,117,405,110,27
135,4.384864,42.496,117,405,110,27
136,4.384864,40.752,117,405,110,27
137,4.384864,42.088,117,405,110,27
138,4.384864,40.592,117,405,110,27
139,4.384864,43.056,117,405,110,27
140,4.384864,40.944,117,405,110,27
141,4.384864,41.968,117,405,110,27
142,4.384864,40.576,120,404,70,23
143,4.384864,42.088,120,404,70,23
144,4.384864,40.768,120,404,70,23
145,4.384864,42.728,120,404,70,23
146,4.384864,40.616,120,404,70,23
147,4.384864,41.96,120,404,70,23
148,4.384864,40.68,120,404,70,23
149,4.384864,42.456,121,368,50,24
150,4.384864,41.656,121,368,50,24
151,4.384864,41.648,121,368,50,24
152,4.384864,40.344,121,368,50,24
153,4.384864,41.248,121,368,50,24
154,4.384864,42.016,121,368,50,24
155,4.384864,42.96,121,368,50,24
156,4.384864,41.624,121,368,50,24
157,4.384864,41.4,118,390,51,22
158,4.384864,41.936,118,390,51,22
159,4.384864,40.6,118,390,51,22
160,4.384864,41.96,118,390,51,22
161,4.384864,43.184,118,390,51,22
162,4.384864,40.048,118,390,51,22
163,4.384864,42.544,150,381,41,2
164,4.384864,40.968,150,381,41,2
165,4.384864,40.56,150,381,41,2
166,4.384864,42.304,150,339,41,16
167,4.384864,42.448,150,339,41,16
168,4.384864,41.824,150,339,41,16
169,4.384864,41.872,150,339,41,16
170,4.384864,40.992,150,339,41,16
171,4.384864,42.56,150,339,41,16
172,4.384864,41.04,150,339,41,16
173,4.384864,42.56,122,399,42,3
174,4.384864,41.408,122,399,42,3
175,4.384864,41.88,122,399,42,3
176,4.384864,41,122,399,42,3
177,4.384864,42.336,122,399,42,3
178,4.384864,41.632,112,357,40,14
179,4.384864,42.008,112,357,40,14
180,4.384864,40.704,112,357,40,14
181,4.384864,42.088,112,357,40,14
182,4.384864,42.104,127,379,52,13
183,4.384864,38.24,127,379,52,13
184,4.384864,44.328,127,379,52,13
185,4.384864,42.256,127,379,52,13
186,4.384864,40.712,127,379,52,13
187,4.384864,42.776,127,361,40,17
188,4.384864,40.904,127,361,40,17
189,4.384864,41.72,127,361,40,17
190,4.384864,41.432,127,361,40,17
191,4.384864,41.696,127,361,40,17
192,4.384864,40.888,127,361,40,17
193,4.384864,41.896,127,361,40,17
194,4.384864,40.016,127,361,40,17
195,4.384864,42.76,127,361,40,17
196,4.384864,41.672,127,361,40,17
197,4.384864,41.56,108,378,40,5
198,4.384864,40.04,108,378,40,5
199,4.384864,42.304,108,378,40,5
200,4.384864,40.904,108,378,40,5
201,4.384864,43.048,115,379,40,18
202,4.384864,40.536,115,379,40,18
203,4.384864,41.4,115,379,40,18
204,4.384864,41.856,115,379,40,18
205,4.384864,42.688,115,379,40,18
206,4.384864,40.424,115,379,40,18
207,4.384864,42.096,115,379,40,18
208,4.384864,40.592,115,352,40,1
209,4.384864,42.352,115,352,40,1
210,4.384864,40.752,115,352,40,1
211,4.384864,41.856,115,352,40,1
