Time,MOS,BW,RTT,JIT,DJB,SNR
1,4.5,31.904,0,71,60,41
2,4.5,37.152,0,71,60,41
3,4.5,8.24,0,71,60,41
4,4.5,0,0,71,60,41
5,4.441375,86.2,148,88,40,36
6,4.441375,31.104,148,88,40,36
7,4.441375,22.936,148,88,40,36
8,4.441375,21.68,148,88,40,36
9,4.441375,20.8,148,88,40,36
10,4.229128,35.28,139,67,62,8
11,4.229128,40.464,139,67,62,8
12,4.229128,23.12,139,67,62,8
13,4.229128,25.64,139,67,62,8
14,4.258759,20.32,139,54,42,39
15,4.258759,23.88,139,54,42,39
16,4.258759,21.96,139,54,42,39
17,4.258759,34.776,139,54,42,39
18,4.258759,24.232,150,66,48,33
19,4.258759,22.56,150,66,48,33
20,4.258759,21.68,150,66,48,33
21,4.258759,22.56,150,66,48,33
22,4.258759,30,150,66,48,33
23,4.258759,24.712,150,66,48,33
24,4.258759,21.2,160,58,40,26
25,4.258759,21.472,160,58,40,26
26,4.258759,22.04,160,58,40,26
27,4.258759,22.52,160,58,40,26
28,4.258759,21.28,160,58,40,26
29,4.258759,21.64,160,58,40,26
30,4.258759,37.6,160,58,40,26
31,4.258759,27.56,160,58,40,26
32,4.229128,21.76,140,72,168,15
33,4.229128,23.744,140,72,168,15
34,4.229128,37.264,140,72,168,15
35,4.229128,35.104,140,72,168,15
36,4.258759,23.328,140,63,148,22
37,4.258759,22.68,140,63,148,22
38,4.258759,21.64,140,63,148,22
39,4.258759,27.392,151,64,128,22
40,4.258759,34.208,151,64,128,22
41,4.258759,22.92,151,64,128,22
42,4.258759,21.68,151,53,128,1
43,4.258759,23.248,151,53,128,1
44,4.258759,22.44,151,53,128,1
45,4.258759,23.48,151,53,128,1
46,4.258759,38.472,151,53,128,1
47,4.258759,37.832,151,53,128,1
48,4.286976,35.12,140,63,147,22
49,4.286976,21.92,140,63,147,22
50,4.286976,21.2,140,63,147,22
51,4.286976,29.376,140,63,147,22
52,4.286976,28.968,140,63,147,22
53,4.286976,22.68,140,63,147,22
54,4.258759,21.64,129,59,127,8
55,4.258759,22.6,129,59,127,8
56,4.258759,36.712,129,59,127,8
57,4.258759,30.744,129,59,127,8
58,4.258759,22.16,129,59,127,8
59,4.258759,26.664,129,59,127,8
60,4.286976,35.216,149,57,107,21
61,4.286976,33.704,149,57,107,21
62,4.286976,23.136,149,57,107,21
63,4.286976,21.32,149,57,107,21
64,4.286976,24.488,149,57,107,21
65,4.286976,21.72,149,57,107,21
66,4.286976,24.304,149,57,107,21
67,4.286976,25.832,149,57,107,21
68,4.286976,37.28,119,64,87,13
69,4.286976,38,119,64,87,13
70,4.286976,38.384,119,64,87,13
71,4.286976,23.888,119,64,87,13
72,4.286976,28.672,119,64,87,13
73,4.286976,28.008,119,64,87,13
74,4.286976,33.88,119,64,87,13
75,4.286976,38.008,141,72,67,19
76,4.286976,40.528,141,72,67,19
77,4.286976,39.112,141,72,67,19
78,4.286976,22.616,141,72,67,19
79,4.286976,38.904,141,72,67,19
80,4.286976,23.832,141,72,67,19
81,4.313737,24.344,118,64,84,12
82,4.313737,22.08,118,64,84,12
83,4.313737,22.6,118,64,84,12
84,4.313737,23.416,118,64,84,12
85,4.313737,23.864,118,64,84,12
86,4.313737,23.496,118,64,84,12
87,4.313737,22.28,118,64,84,12
88,4.313737,28.6,131,76,64,11
89,4.313737,40.8,131,76,64,11
90,4.313737,31.64,131,76,64,11
91,4.313737,40.608,131,76,64,11
92,4.286976,37.624,149,56,44,22
93,4.286976,39.632,149,56,44,22
94,4.286976,28.52,149,56,44,22
95,4.286976,23.136,149,56,44,22
96,4.286976,25.56,149,56,44,22
97,4.286976,34.088,191,75,53,9
98,4.286976,37.248,191,75,53,9
99,4.286976,23.32,191,75,53,9
100,4.286976,38.424,191,75,53,9
101,4.286976,33.56,191,75,53,9
102,4.286976,24.544,130,66,40,17
103,4.286976,21.68,130,66,40,17
104,4.286976,40.064,130,66,40,17
105,4.313737,35.6,128,67,40,22
106,4.313737,25.728,128,67,40,22
107,4.313737,32.136,128,67,40,22
108,4.313737,36.504,128,67,40,22
109,4.313737,40.736,128,67,40,22
110,4.313737,38.24,128,67,40,17
111,4.313737,23.672,128,67,40,17
112,4.313737,21.76,128,67,40,17
113,4.313737,21.36,128,67,40,17
114,4.313737,23.08,128,67,40,17
115,4.313737,31.56,128,67,40,17
116,4.313737,38.688,128,67,40,17
117,4.313737,39.592,160,72,43,23
118,4.313737,37.744,160,72,43,23
119,4.313737,25.272,160,72,43,23
120,4.313737,23.184,160,72,43,23
121,4.313737,21.24,119,68,40,12
122,4.313737,36.536,119,68,40,12
123,4.313737,40.32,119,68,40,12
124,4.313737,37.312,119,68,40,12
125,4.313737,23.912,119,68,40,12
126,4.313737,21.68,119,68,40,12
127,4.313737,23.496,119,68,40,12
128,4.313737,22.12,119,68,40,12
129,4.313737,23.768,119,68,40,12
130,4.313737,22.08,119,68,40,12
131,4.313737,22.12,129,78,82,25
132,4.313737,21.68,129,78,82,25
133,4.313737,29.792,129,78,82,25
134,4.313737,25.296,129,78,82,25
135,4.313737,22.52,129,78,82,25
136,4.313737,26.248,129,78,82,25
137,4.313737,22.52,140,74,42,34
