Time,MOS,BW,RTT,JIT,DJB,SNR
1,4.482136,28.352,0,9.90321e+11,40,20
2,4.482136,27.68,0,9.90321e+11,40,20
3,4.482136,29.6,0,9.90321e+11,40,20
4,4.470369,28.416,299,73,40,29
5,4.470369,30.784,299,73,40,29
6,4.470369,27.76,299,73,40,29
7,4.470369,26.64,299,73,40,29
8,4.470369,29.6,299,73,40,29
9,4.470369,18.8,299,73,40,29
10,4.470369,41.376,299,73,40,29
11,4.470369,23.68,299,73,40,29
12,4.470369,28.064,299,73,40,29
13,4.470369,10.304,299,73,40,29
14,4.470369,11.408,299,73,40,29
15,4.470369,15.984,299,73,40,29
16,4.061233,23.92,431,233,250,17
17,4.061233,29.6,431,233,250,17
18,4.061233,29.6,431,233,250,17
19,4.061233,32.56,431,233,250,17
20,4.061233,20.448,431,233,250,17
21,4.061233,28.416,431,233,250,17
22,4.061233,29.536,431,233,250,17
23,4.061233,28.416,431,233,250,17
24,4.061233,33.152,431,233,250,17
25,4.061233,17.184,209,111,210,3
26,4.061233,27.616,209,111,210,3
27,4.061233,30.784,209,111,210,3
28,4.061233,28.416,209,111,210,3
29,4.061233,30.784,209,111,210,3
30,4.061233,29.456,209,111,210,3
31,4.061233,22.8,209,111,210,3
32,4.097304,28.416,249,89,190,7
33,4.097304,26.352,249,89,190,7
34,4.097304,30.128,249,89,190,7
35,4.097304,31.376,249,89,190,7
36,4.097304,27.232,249,89,190,7
37,4.097304,30.72,249,89,190,7
38,4.097304,28.336,249,89,190,7
39,4.097304,28.416,249,89,190,7
40,4.097304,29.008,249,89,190,7
41,4.165792,22.944,190,89,150,23
42,4.165792,24.656,190,89,150,23
43,4.165792,9.92,190,89,150,23
44,4.165792,2.24,190,89,150,23
45,4.165792,0.896,190,89,150,23
46,4.165792,19.536,190,89,150,23
47,4.165792,16.08,190,89,150,23
48,4.165792,24.576,190,89,150,23
49,4.165792,28.192,190,89,150,23
50,4.165792,19.04,249,118,250,3
51,4.165792,26.368,249,118,250,3
52,4.165792,27.76,249,118,250,3
53,4.165792,9.2,249,118,250,3
54,4.165792,25.408,249,118,250,3
55,4.165792,30.784,249,118,250,3
56,4.165792,29.6,249,100,250,1
57,4.165792,29.6,249,100,250,1
58,4.165792,29.008,249,100,250,1
59,4.165792,30.784,249,100,250,1
60,4.165792,29.008,249,100,250,1
61,4.165792,26.048,249,100,250,1
62,4.198125,32.56,370,97,230,1
63,4.198125,28.416,370,97,230,1
64,4.198125,31.376,370,97,230,1
65,4.198125,28.416,180,92,210,3
66,4.198125,30.192,180,92,210,3
67,4.198125,30.048,180,92,210,3
68,4.198125,29.008,180,92,210,3
69,4.198125,29.008,180,92,210,3
70,4.198125,29.008,180,92,210,3
71,4.198125,30.192,180,92,210,3
72,4.198125,29.6,180,92,210,3
73,4.198125,30.192,180,92,210,3
74,4.198125,20.064,180,92,210,3
75,4.198125,23.616,210,102,170,3
76,4.198125,19.904,210,102,170,3
77,4.198125,29.472,210,102,170,3
78,4.198125,23.536,210,102,170,3
79,4.198125,29.008,210,102,170,3
80,4.198125,28.416,210,102,170,3
81,4.229128,33.152,210,80,150,22
82,4.229128,19.68,210,80,150,22
83,4.229128,31.232,210,80,150,22
84,4.229128,29.376,210,80,150,22
85,4.229128,29.008,210,80,150,22
86,4.229128,29.536,210,80,150,22
87,4.198125,29.6,290,86,130,7
88,4.198125,30.192,290,86,130,7
89,4.198125,29.008,290,86,130,7
90,4.198125,28.416,290,86,130,7
91,4.198125,29.6,290,86,130,7
92,4.198125,30.784,290,79,110,5
93,4.198125,29.6,290,79,110,5
94,4.198125,27.76,290,79,110,5
95,4.198125,30.192,290,79,110,5
96,4.198125,27.232,290,79,110,5
97,4.198125,31.376,290,79,110,5
98,4.229128,27.824,179,98,90,9
99,4.229128,15.84,179,98,90,9
100,4.229128,41.44,179,98,90,9
101,4.229128,29.008,179,98,90,9
102,4.229128,28.416,179,98,90,9
103,4.229128,27.76,179,98,90,9
104,4.229128,29.536,170,82,70,1
105,4.229128,13.264,170,82,70,1
106,4.229128,22.224,170,82,70,1
107,4.229128,30.192,170,82,70,1
108,4.229128,29.008,170,82,70,1
109,4.229128,21.312,170,82,70,1
110,4.229128,37.296,211,114,165,1
111,4.229128,29.6,211,114,165,1
112,4.229128,18.352,211,114,165,1
113,4.229128,31.312,211,114,165,1
114,4.229128,29.008,211,114,165,1
115,4.229128,29.008,211,114,165,1
116,4.229128,28.416,211,114,165,1
117,4.229128,26.864,211,114,165,1
118,4.229128,29.6,211,114,165,1
119,4.229128,29.6,140,54,145,2
120,4.229128,30.784,140,54,145,2
121,4.229128,28.416,140,54,145,2
122,4.229128,27.824,140,54,145,2
123,4.229128,31.376,140,85,145,1
124,4.229128,25.68,140,85,145,1
125,4.229128,21.312,140,85,145,1
126,4.229128,37.248,140,85,145,1
127,4.229128,29.008,140,85,145,1
128,4.229128,30.64,140,85,145,1
129,4.229128,30.192,140,85,145,1
