Time,MOS,BW,RTT,JIT,DJB,SNR
1,4.362723,34.8,0,99,50,16
2,4.362723,34.8,0,99,50,16
3,4.362723,34.8,0,99,50,16
4,4.405381,34.8,129,83,60,2
5,4.405381,34.8,129,83,60,2
6,4.405381,34.8,129,83,60,2
7,4.405381,34.104,129,83,60,2
8,4.405381,35.496,129,83,60,2
9,4.424232,34.104,139,75,40,3
10,4.424232,32.712,139,75,40,3
11,4.424232,36.888,139,75,40,3
12,4.424232,33.408,139,75,40,3
13,4.424232,25.056,129,88,43,4
14,4.424232,45.936,129,88,43,4
15,4.424232,34.104,129,88,43,4
16,4.424232,35.496,129,88,43,4
17,4.424232,34.104,129,74,71,2
18,4.424232,32.016,129,74,71,2
19,4.424232,6.96,129,74,71,2
20,4.424232,6.96,129,74,71,2
21,4.424232,4.872,129,74,71,2
22,4.424232,4.872,129,74,71,2
23,4.424232,4.872,129,74,71,2
24,4.424232,11.832,129,74,71,2
25,4.424232,16.704,129,74,71,2
26,4.424232,26.448,129,74,71,2
27,4.424232,84.216,129,74,71,2
28,4.424232,32.016,129,74,71,2
29,4.424232,34.104,129,74,71,2
30,4.424232,37.584,129,74,71,2
31,4.424232,34.8,129,74,71,2
32,4.424232,35.496,129,74,71,2
33,4.424232,33.408,129,74,71,2
34,4.424232,34.8,129,74,71,2
35,4.424232,34.8,129,74,71,2
36,4.424232,35.496,129,74,71,2
37,4.424232,34.104,129,74,71,2
38,4.424232,35.496,129,74,71,2
39,4.424232,34.104,129,74,71,2
40,4.424232,34.8,129,74,71,2
41,4.424232,31.32,129,74,71,2
42,4.424232,37.584,129,74,71,2
43,4.424232,35.496,129,74,71,2
44,4.424232,35.496,129,74,71,2
45,4.424232,34.8,129,74,71,2
46,3.864288,34.8,129,78,59,13
47,3.864288,25.752,129,78,59,13
48,3.864288,41.76,129,78,59,13
49,3.864288,34.8,129,78,59,13
50,3.864288,34.8,129,78,59,13
51,3.864288,31.32,129,78,59,13
52,3.864288,39.672,129,78,59,13
53,3.946216,34.104,130,78,49,1
54,3.946216,34.8,130,78,49,1
