Time,MOS,BW,RTT,JIT,DJB,SNR
1,4.482136,35.672,0,169,40,13
2,4.482136,27.712,0,169,40,13
3,4.482136,33.816,0,169,40,13
4,4.482136,33.424,0,169,40,13
5,4.441375,25.968,141,176,50,23
6,4.441375,31.184,141,176,50,23
7,4.441375,31.36,141,176,50,23
8,4.441375,24.288,141,176,50,23
9,4.441375,32.472,141,176,50,23
10,4.441375,31.208,141,157,47,18
11,4.441375,30.816,141,157,47,18
12,4.441375,32.408,141,157,47,18
13,4.441375,30.888,141,157,47,18
14,4.441375,26.592,141,157,47,18
15,4.424232,34.024,419,505,243,15
16,4.424232,33.184,419,505,243,15
17,4.424232,29.904,419,505,243,15
18,4.424232,31.368,419,505,243,15
19,4.424232,31.344,419,505,243,15
20,4.424232,27.632,419,505,243,15
21,4.405381,26.32,230,267,223,30
22,4.405381,31.776,230,267,223,30
23,4.405381,28.04,230,267,223,30
24,4.405381,32.232,230,267,223,30
25,4.405381,31.904,230,267,223,30
26,4.405381,32.904,230,267,223,30
27,4.405381,30.424,230,267,223,30
28,4.384864,24.632,178,161,203,29
29,4.384864,27.608,178,161,203,29
30,4.384864,33.992,178,161,203,29
31,4.384864,26.192,178,161,203,29
32,4.384864,33.072,178,161,203,29
33,4.384864,29.776,178,161,203,29
34,4.384864,29.768,131,173,183,26
35,4.384864,32.408,131,173,183,26
36,4.384864,29.84,131,173,183,26
37,4.384864,31.104,131,173,183,26
38,4.384864,31.416,131,173,183,26
39,4.384864,28.816,131,173,183,26
40,4.384864,28.944,150,157,143,0
41,4.384864,30.472,150,157,143,0
42,4.384864,29.816,150,157,143,0
43,4.384864,30.896,150,157,143,0
44,4.384864,28.648,150,157,143,0
45,4.384864,30.76,150,157,143,0
46,4.384864,31.136,150,157,143,0
47,4.384864,29.984,179,168,123,0
48,4.384864,30.16,179,168,123,0
49,4.384864,31.072,179,168,123,0
50,4.384864,30.376,179,168,123,0
51,4.405381,26.72,138,176,103,38
52,4.405381,30.408,138,176,103,38
53,4.405381,32.112,138,176,103,38
54,4.405381,25.24,138,176,103,38
55,4.405381,35.008,138,176,103,38
56,4.405381,32.512,140,176,83,31
57,4.405381,31.504,140,176,83,31
58,4.405381,33.08,140,176,83,31
59,4.405381,31.192,140,176,83,31
60,4.405381,32.36,160,168,63,28
61,4.405381,19.216,160,168,63,28
62,4.405381,29.856,160,168,63,28
63,4.405381,26.328,160,168,63,28
64,4.405381,32.12,160,168,63,28
65,4.405381,33.144,160,168,63,28
66,4.405381,27.176,151,176,50,37
67,4.405381,31.568,151,176,50,37
68,4.405381,19.648,151,176,50,37
69,4.405381,25.928,151,176,50,37
70,4.405381,34.744,151,176,50,37
71,4.405381,28.024,151,176,50,37
72,4.405381,21.752,151,176,50,37
73,4.405381,31.872,151,176,50,37
74,4.405381,28.264,151,176,50,37
75,4.405381,37.112,160,183,50,27
76,4.405381,34.232,160,183,50,27
77,4.405381,30.992,160,183,50,27
78,4.405381,28.616,160,183,50,27
79,4.405381,27.224,160,183,50,27
80,4.405381,34.696,150,155,40,34
81,4.405381,32.616,150,155,40,34
82,4.405381,27.744,150,155,40,34
83,4.405381,29.448,150,155,40,34
84,4.405381,33.384,150,155,40,34
85,4.405381,33.968,150,155,40,34
86,4.405381,32.768,149,154,40,29
87,4.405381,24.168,149,154,40,29
88,4.405381,32.928,149,154,40,29
89,4.405381,27.792,149,154,40,29
90,4.405381,33.288,150,178,45,19
91,4.405381,32.264,150,178,45,19
92,4.405381,24.84,150,178,45,19
93,4.405381,30.328,150,178,45,19
94,4.405381,29.16,150,178,45,19
95,4.405381,26.536,150,178,45,19
96,4.405381,32.96,150,178,45,19
97,4.405381,31.664,150,178,45,19
98,4.405381,29.152,140,224,117,17
99,4.405381,32.776,140,224,117,17
100,4.405381,29.232,140,224,117,17
101,4.405381,29.928,140,224,117,17
102,4.405381,29.712,140,224,117,17
103,4.405381,29.272,140,224,117,17
104,4.405381,30.36,140,224,117,17
105,4.384864,30.44,219,207,250,6
106,4.384864,32.24,219,207,250,6
107,4.384864,30.368,219,207,250,6
108,4.384864,31.032,219,207,250,6
109,4.384864,30.264,219,180,230,5
110,4.384864,31.584,219,180,230,5
111,4.384864,30.216,219,180,230,5
112,4.384864,30.384,219,180,230,5
113,4.384864,30.448,219,180,230,5
114,4.384864,30.536,219,180,230,5
115,4.384864,31.768,169,164,210,4
116,4.384864,30.72,169,164,210,4
117,4.384864,30.328,169,164,210,4
118,4.384864,31.168,169,164,210,4
119,4.384864,29.568,159,150,190,7
120,4.384864,29.68,159,150,190,7
121,4.384864,28.976,159,150,190,7
122,4.384864,30.528,159,150,190,7
123,4.384864,29.648,159,150,190,7
124,4.384864,29.64,159,150,190,7
125,4.384864,28.488,159,150,190,7
126,4.384864,29.84,159,174,170,9
127,4.384864,30.312,159,174,170,9
128,4.384864,29.824,159,174,170,9
129,4.384864,31.072,159,174,170,9
130,4.384864,29.12,159,174,170,9
131,4.384864,31.184,159,174,170,9
132,4.384864,25.72,159,174,170,9
133,4.384864,33.2,159,174,170,9
134,4.384864,31.32,159,174,170,9
135,4.384864,29.336,150,173,130,9
136,4.384864,32.8,150,173,130,9
137,4.384864,30.96,150,173,130,9
138,4.384864,16.304,150,173,130,9
139,4.384864,0.968,150,173,130,9
140,4.384864,73.736,150,173,130,9
141,4.384864,28.976,369,342,243,11
142,4.384864,30.216,369,342,243,11
143,4.384864,32.2,369,342,243,11
144,4.384864,30.488,369,342,243,11
145,4.384864,30.64,369,342,243,11
146,4.384864,31.392,140,292,223,10
147,4.384864,31.464,140,292,223,10
148,4.384864,28.808,140,292,223,10
149,4.384864,32.608,140,292,223,10
150,4.384864,30.592,140,192,203,4
151,4.384864,29.336,140,192,203,4
152,4.384864,30.28,140,192,203,4
153,4.384864,30.952,140,192,203,4
154,4.384864,30.248,140,192,203,4
155,4.384864,31.096,140,192,203,4
156,4.384864,31.608,140,192,203,4
157,4.384864,28.88,140,192,203,4
158,4.384864,28.28,170,171,183,10
159,4.384864,24.672,170,171,183,10
160,4.384864,29.04,170,171,183,10
161,4.384864,24.08,170,171,183,10
162,4.384864,36.096,170,171,183,10
163,4.384864,31.944,170,171,183,10
164,4.384864,31.84,170,171,183,10
165,4.384864,30.968,179,175,143,13
166,4.384864,29.576,179,175,143,13
167,4.384864,31.464,179,175,143,13
168,4.384864,28.88,179,175,143,13
169,4.384864,29,179,175,143,13
170,4.384864,29.888,179,175,143,13
171,4.384864,29.8,160,196,123,12
172,4.384864,29.784,160,196,123,12
173,4.384864,29.776,160,196,123,12
174,4.384864,30.912,160,196,123,12
175,4.384864,29.88,160,196,123,12
176,4.384864,30.408,160,196,123,12
177,4.384864,30.312,147,217,140,16
178,4.384864,31.064,147,217,140,16
179,4.384864,30.32,147,217,140,16
180,4.384864,30.512,147,217,140,16
181,4.384864,29.8,147,217,140,16
182,4.384864,31.704,147,217,140,16
183,4.384864,30.512,147,217,140,16
184,4.384864,30.664,147,217,140,16
185,4.384864,31.464,147,217,140,16
186,4.384864,31.128,147,217,140,16
187,4.384864,29.152,138,189,137,27
188,4.384864,27.128,138,189,137,27
189,4.384864,30.552,138,189,137,27
190,4.384864,30.16,138,189,137,27
191,4.384864,32.056,138,189,137,27
192,4.384864,28.696,138,172,117,24
193,4.384864,31.04,138,172,117,24
194,4.384864,30.4,138,172,117,24
195,4.384864,29.088,138,172,117,24
196,4.384864,30.368,159,179,97,17
197,4.384864,31.392,159,179,97,17
198,4.384864,29.376,159,179,97,17
199,4.384864,31.104,159,179,97,17
200,4.384864,30.272,159,179,97,17
201,4.384864,30.312,159,179,97,17
202,4.384864,31.304,161,171,77,4
203,4.384864,30.4,161,171,77,4
204,4.384864,30.824,161,171,77,4
205,4.384864,30.36,161,171,77,4
206,4.384864,29.896,161,171,77,4
207,4.384864,30.768,161,164,57,20
208,4.384864,28.912,161,164,57,20
209,4.384864,30.936,161,164,57,20
210,4.384864,30.088,161,164,57,20
211,4.384864,30.008,161,164,57,20
212,4.384864,31.888,161,164,57,20
213,4.384864,30.32,161,164,57,20
214,4.384864,32.032,149,151,40,20
215,4.384864,29.504,149,151,40,20
216,4.384864,30.752,149,151,40,20
217,4.384864,29.272,149,151,40,20
218,4.384864,31.056,149,151,40,20
219,4.384864,29.712,149,151,40,20
220,4.384864,31.792,149,151,40,20
221,4.384864,30.168,141,146,40,22
222,4.384864,25.944,141,146,40,22
223,4.384864,31.232,141,146,40,22
224,4.384864,22.824,141,146,40,22
225,4.384864,26.832,141,146,40,22
226,4.384864,35.408,141,146,40,22
227,4.384864,26.992,141,146,40,22
228,4.384864,23.216,168,172,40,33
229,4.384864,25.728,168,172,40,33
230,4.384864,23.768,168,172,40,33
231,4.384864,22.608,168,172,40,33
232,4.384864,34.792,168,172,40,33
233,4.384864,31.672,148,167,42,6
234,4.384864,34.12,148,167,42,6
235,4.384864,35,148,167,42,6
236,4.384864,34.32,148,167,42,6
237,4.384864,31.8,148,167,42,6
238,4.384864,30.544,151,187,70,19
239,4.384864,27.816,151,187,70,19
240,4.384864,25.856,151,187,70,19
241,4.384864,26.416,151,173,70,35
242,4.384864,33.048,151,173,70,35
243,4.384864,21.24,151,173,70,35
244,4.384864,28.168,151,173,70,35
245,4.384864,25.784,151,173,70,35
246,4.384864,22.304,151,173,70,35
247,4.384864,23.136,151,173,70,35
248,4.384864,28.176,151,173,70,35
249,4.384864,25.448,151,173,70,35
250,4.384864,28.904,151,173,70,35
251,4.384864,30.216,151,173,70,35
252,4.384864,29.304,170,209,102,19
253,4.384864,32.152,170,209,102,19
254,4.384864,32.992,170,209,102,19
255,4.384864,35.88,170,209,102,19
256,4.384864,34.48,170,209,102,19
257,4.384864,34.104,191,194,62,17
258,4.384864,27.424,191,194,62,17
259,4.384864,23.136,191,194,62,17
260,4.384864,33.488,191,194,62,17
261,4.384864,32.472,191,194,62,17
262,4.384864,31.272,191,194,62,17
263,4.384864,30.808,191,194,62,17
264,4.384864,20.448,169,186,107,32
265,4.384864,23.456,169,186,107,32
266,4.384864,19.856,169,186,107,32
267,4.384864,34.76,169,186,107,32
268,4.384864,24.104,169,186,107,32
269,4.384864,22.504,140,175,67,32
270,4.384864,21.76,140,175,67,32
271,4.384864,22.208,140,175,67,32
272,4.384864,4.952,140,175,67,32
273,4.384864,0.664,140,175,67,32
274,4.384864,80.968,140,197,67,29
275,4.384864,31.312,140,197,67,29
276,4.384864,26.072,140,197,67,29
277,4.384864,4.592,140,197,67,29
278,4.384864,47.736,140,197,67,29
279,4.384864,45.92,710,218,48,22
280,4.384864,30.544,710,218,48,22
281,4.384864,34.328,710,218,48,22
282,4.384864,29.024,710,218,48,22
283,4.384864,28.096,710,218,48,22
284,4.384864,22.888,710,218,48,22
285,4.384864,25.52,710,218,48,22
286,4.384864,34.52,159,175,40,32
287,4.384864,35.944,159,175,40,32
288,4.384864,33.312,159,175,40,32
289,4.384864,31.976,159,175,40,32
290,4.384864,31.368,159,175,40,32
291,4.384864,31.176,159,175,40,32
292,4.384864,29.968,159,175,40,32
293,4.384864,29.4,159,175,40,32
294,4.384864,28.936,159,175,40,32
295,4.384864,29,159,175,40,32
296,4.384864,29.56,160,167,40,29
297,4.384864,28.712,160,167,40,29
298,4.384864,23.824,160,167,40,29
299,4.384864,29.896,160,167,40,29
300,4.384864,34.312,160,167,40,29
301,4.384864,26.456,160,167,40,29
302,4.384864,28.76,141,189,61,40
303,4.384864,23.592,141,189,61,40
304,4.384864,26,141,189,61,40
305,4.384864,31.632,141,189,61,40
306,4.384864,23.288,141,189,61,40
307,4.384864,24.336,141,189,61,40
308,4.384864,26.968,141,189,61,40
309,4.384864,23.792,141,189,61,40
310,4.384864,22.92,141,189,61,40
311,4.384864,30.648,151,167,48,22
312,4.384864,34.544,151,167,48,22
313,4.384864,36.36,151,167,48,22
314,4.384864,33.768,151,167,48,22
315,4.384864,34.888,151,167,48,22
316,4.384864,33.16,151,167,48,22
317,4.384864,32.2,138,205,60,14
318,4.384864,26.912,138,205,60,14
319,4.384864,26.568,138,205,60,14
320,4.384864,32.568,138,205,60,14
321,4.384864,33.152,138,205,60,14
322,4.384864,33.096,159,173,62,23
323,4.384864,31.696,159,173,62,23
324,4.384864,30.048,159,173,62,23
325,4.384864,32.104,159,173,62,23
326,4.384864,29.76,159,173,62,23
327,4.384864,29.664,161,171,134,15
328,4.384864,24.704,161,171,134,15
329,4.384864,33.256,161,171,134,15
330,4.384864,31.976,161,171,134,15
331,4.384864,29.872,161,171,134,15
332,4.384864,29.072,249,217,114,16
333,4.384864,30.336,249,217,114,16
334,4.384864,29.256,249,217,114,16
335,4.384864,30.36,249,176,94,10
336,4.384864,30.12,249,176,94,10
337,4.384864,31.2,249,176,94,10
338,4.384864,29.992,249,176,94,10
339,4.384864,30.752,249,176,94,10
340,4.384864,31.144,249,176,94,10
341,4.384864,29.808,149,155,74,9
342,4.384864,31.432,149,155,74,9
343,4.384864,30.04,149,155,74,9
344,4.384864,30.136,149,155,74,9
345,4.384864,32.128,149,155,74,9
346,4.384864,28.8,149,155,74,9
347,4.384864,29.456,160,174,74,11
348,4.384864,29.84,160,174,74,11
349,4.384864,31.08,160,174,74,11
350,4.384864,28.336,160,174,74,11
351,4.384864,31.04,160,174,74,11
352,4.384864,31.792,160,174,74,11
353,4.384864,30.944,160,174,74,11
354,4.384864,30.296,160,174,74,11
355,4.384864,30.92,160,174,40,8
356,4.384864,28.896,160,174,40,8
357,4.384864,30.544,160,174,40,8
358,4.384864,31.048,160,174,40,8
359,4.384864,30.056,160,174,40,8
360,4.384864,29.136,160,174,40,8
361,4.384864,30.264,160,174,40,8
362,4.384864,31.072,149,162,40,5
363,4.384864,30.088,149,162,40,5
364,4.384864,29.008,149,162,40,5
365,4.384864,31.064,149,161,44,3
366,4.384864,30.2,149,161,44,3
367,4.384864,30.392,149,161,44,3
368,4.384864,28.608,149,161,44,3
369,4.384864,28.76,149,161,44,3
370,4.384864,28.328,150,147,50,26
371,4.384864,35.12,150,147,50,26
372,4.384864,30.968,150,147,50,26
373,4.384864,32.176,150,147,50,26
374,4.384864,30.704,150,147,50,26
375,4.384864,30.664,150,147,50,26
376,4.384864,29.688,150,147,50,26
377,4.384864,28.792,150,147,50,26
378,4.384864,30.664,149,155,71,18
379,4.384864,29.488,149,155,71,18
380,4.384864,31.288,149,155,71,18
381,4.384864,31.032,149,155,71,18
382,4.384864,29.84,149,155,71,18
383,4.384864,31.552,149,155,71,18
384,4.384864,31.296,149,155,71,18
385,4.384864,29.36,149,155,71,18
386,4.384864,30.384,149,208,139,23
387,4.384864,30.232,149,208,139,23
388,4.384864,30.44,149,208,139,23
