Time,MOS,BW,RTT,JIT,DJB,SNR
1,4.5,55.416,0,574,99,22
2,4.5,55.336,0,574,99,22
3,4.5,56.288,0,574,99,22
4,4.492027,55.584,123,456,79,27
5,4.492027,55.864,123,456,79,27
6,4.492027,55.448,123,456,79,27
7,4.492027,55.584,123,456,79,27
8,4.482136,54.696,133,479,79,28
9,4.482136,54.864,133,479,79,28
10,4.482136,54.816,133,479,79,28
11,4.456768,55.336,133,450,59,24
12,4.456768,51.84,133,450,59,24
13,4.456768,55.384,133,450,59,24
14,4.441375,56.44,124,417,59,29
15,4.441375,54.896,124,417,59,29
16,4.441375,55.552,124,417,59,29
17,4.441375,55.952,124,417,59,29
18,4.441375,54,124,417,59,29
19,4.424232,55.768,120,466,40,5
20,4.424232,54.816,120,466,40,5
21,4.424232,55.608,120,466,40,5
22,4.424232,56.024,120,466,40,5
23,4.424232,55.408,120,466,40,5
24,4.424232,55.912,129,468,45,13
25,4.424232,53.168,129,468,45,13
26,4.424232,54.944,129,468,45,13
27,4.424232,56.744,129,457,45,12
28,4.424232,55.152,129,457,45,12
29,4.424232,55.024,129,457,45,12
30,4.424232,55.008,129,457,45,12
31,4.424232,55.496,129,457,45,12
32,4.424232,55.368,116,465,45,1
33,4.424232,55.496,116,465,45,1
34,4.424232,55.8,116,465,45,1
35,4.424232,54.184,116,465,45,1
36,4.424232,55.72,116,381,40,8
37,4.424232,54.552,116,381,40,8
38,4.424232,55.536,116,381,40,8
39,4.424232,55.808,116,381,40,8
40,4.424232,54.608,120,424,63,19
41,4.424232,56.656,120,424,63,19
42,4.424232,56.88,120,424,63,19
43,4.424232,54.464,120,424,63,19
44,4.424232,55.76,117,398,63,0
45,4.424232,55.824,117,398,63,0
46,4.424232,56.592,117,398,63,0
47,4.424232,55.704,117,398,63,0
48,4.424232,54.352,117,398,63,0
49,4.424232,55.384,117,398,63,0
50,4.424232,55.784,130,470,40,12
51,4.424232,55.848,130,470,40,12
52,4.424232,55.464,130,470,40,12
53,4.424232,55.864,130,470,40,12
54,4.424232,56.416,117,480,185,11
55,4.424232,54.432,117,480,185,11
56,4.424232,55.2,117,480,185,11
57,4.424232,57.064,117,480,185,11
58,4.424232,51.536,117,480,185,11
59,4.424232,54.112,117,480,185,11
60,4.424232,56.768,132,455,165,18
61,4.424232,55.496,132,455,165,18
62,4.424232,56.2,132,455,165,18
63,4.424232,55.024,132,455,165,18
64,4.424232,56.784,129,451,145,14
65,4.424232,53.768,129,451,145,14
66,4.424232,56.304,129,451,145,14
67,4.424232,55.408,129,410,145,10
68,4.424232,52.568,129,410,145,10
69,4.424232,52.344,129,410,145,10
70,4.424232,57.192,129,410,145,10
71,4.424232,55.752,129,410,145,10
72,4.424232,54.888,125,433,125,0
73,4.424232,55.272,125,433,125,0
74,4.424232,56.792,125,433,125,0
75,4.424232,56.04,125,433,125,0
76,4.424232,55.528,147,491,105,13
77,4.424232,56.384,147,491,105,13
78,4.424232,54.408,147,491,105,13
79,4.424232,55.768,147,491,105,13
80,4.424232,57.088,147,491,105,13
81,4.424232,54.584,147,491,105,13
82,4.424232,55.064,147,491,105,13
83,4.424232,56.024,119,406,65,25
84,4.424232,55.4,119,406,65,25
85,4.424232,57.792,119,406,65,25
86,4.424232,54.48,119,406,65,25
87,4.424232,55.112,119,406,65,25
88,4.424232,55.592,119,406,65,25
89,4.424232,55.816,148,453,162,12
90,4.424232,57.04,148,453,162,12
91,4.424232,55.616,148,453,162,12
92,4.424232,52.376,148,453,162,12
93,4.424232,56.616,148,453,162,12
94,4.424232,54.912,148,453,162,12
95,4.424232,56.24,148,453,162,12
96,4.424232,56.208,133,502,162,31
97,4.424232,55.424,133,502,162,31
98,4.424232,55.528,133,502,162,31
99,4.424232,54.576,118,486,142,29
100,4.424232,56.872,118,486,142,29
101,4.424232,54.944,118,486,142,29
102,4.424232,56.784,118,486,142,29
103,4.424232,56.144,118,486,142,29
104,4.424232,55.384,118,486,142,29
105,4.424232,55.52,116,350,122,11
106,4.424232,54.336,116,350,122,11
107,4.424232,55.648,116,350,122,11
108,4.424232,54.848,116,350,122,11
109,4.424232,57.048,116,415,102,21
110,4.424232,54.736,116,415,102,21
111,4.424232,56.656,116,415,102,21
112,4.424232,55.8,116,415,102,21
113,4.424232,55.6,120,386,82,24
114,4.424232,55.992,120,386,82,24
115,4.424232,55.512,120,386,82,24
116,4.424232,54.072,120,386,82,24
117,4.424232,54.672,120,386,82,24
118,4.424232,57.656,120,386,82,24
119,4.424232,55.568,120,386,82,24
120,4.424232,54.848,124,446,62,1
121,4.424232,55.048,124,446,62,1
122,4.424232,54.6,124,446,62,1
123,4.424232,51.864,124,446,62,1
124,4.424232,55.736,124,446,62,1
125,4.424232,55.952,124,446,62,1
126,4.424232,55.848,124,446,62,1
127,4.424232,54.424,124,446,62,1
128,4.424232,50.656,137,364,42,31
129,4.424232,58.216,137,364,42,31
130,4.424232,55.408,137,364,42,31
131,4.424232,55.84,137,364,42,31
132,4.424232,54.696,137,364,42,31
133,4.424232,55.896,137,364,42,31
134,4.424232,56.784,137,364,42,31
135,4.424232,55.352,134,414,67,2
136,4.424232,55.648,134,414,67,2
137,4.424232,55.232,134,414,67,2
138,4.424232,55.184,134,414,67,2
139,4.424232,56.256,134,429,147,13
140,4.424232,56.304,134,429,147,13
141,4.424232,54.096,134,429,147,13
142,4.424232,55.656,134,429,147,13
143,4.424232,55.672,125,321,147,5
144,4.424232,55.576,125,321,147,5
145,4.424232,56.464,125,321,147,5
146,4.424232,55.52,125,401,127,2
147,4.424232,55.776,125,401,127,2
148,4.424232,54.44,125,401,127,2
149,4.424232,40.024,125,401,127,2
150,4.424232,71.704,135,516,157,8
151,4.424232,54.48,135,516,157,8
152,4.424232,57.408,135,516,157,8
153,4.424232,53.64,135,516,157,8
154,4.424232,54.96,135,516,157,8
155,4.424232,55.248,135,516,157,8
156,4.424232,50.4,135,516,157,8
157,4.424232,59.944,135,516,157,8
158,4.424232,52.336,140,387,137,13
159,4.424232,57,140,387,137,13
160,4.424232,57.936,140,387,137,13
161,4.424232,54.352,233,461,117,11
162,4.424232,55.52,233,461,117,11
163,4.424232,54.52,233,461,117,11
164,4.424232,53.192,233,461,117,11
165,4.424232,52.656,233,461,117,11
166,4.424232,55.864,139,368,97,6
167,4.424232,54.856,139,368,97,6
168,4.424232,52.904,139,368,97,6
169,4.424232,52.784,139,368,97,6
170,4.424232,56.64,139,368,97,6
171,4.424232,55.888,139,368,97,6
172,4.424232,48.464,139,368,97,6
173,4.424232,60.936,152,328,57,1
174,4.424232,54.576,152,328,57,1
175,4.424232,43.792,152,328,57,1
176,4.424232,66.464,152,328,57,1
177,4.424232,56.696,152,328,57,1
178,4.424232,53.2,152,328,57,1
179,4.424232,53.624,196,354,40,1
180,4.424232,53.904,196,354,40,1
181,4.424232,50.52,196,354,40,1
182,4.424232,57.848,196,354,40,1
183,4.405381,55.712,139,328,40,0
184,4.405381,33.064,139,328,40,0
185,4.405381,68.328,139,328,40,0
186,4.405381,40.336,139,328,40,0
187,4.405381,51.736,140,337,40,24
188,4.405381,47.16,140,337,40,24
189,4.405381,60.232,140,337,40,24
190,4.405381,51.624,140,337,40,24
191,4.405381,48.616,129,383,136,28
192,4.405381,62.576,129,383,136,28
193,4.405381,55.872,129,383,136,28
194,4.405381,39.28,129,383,136,28
195,4.405381,66.136,129,383,136,28
196,4.405381,58.992,125,367,116,8
197,4.405381,27.976,125,367,116,8
198,4.405381,22.848,125,367,116,8
199,4.405381,20.16,125,367,116,8
200,4.405381,108.808,125,367,116,8
201,4.405381,54.776,173,366,96,11
202,4.405381,56.56,173,366,96,11
203,4.405381,52.76,173,366,96,11
204,4.405381,57.504,173,366,96,11
