Time,MOS,BW,RTT,JIT,DJB,SNR
1,4.482136,36.384,0,64,88,39
2,4.482136,36.92,0,64,88,39
3,4.482136,36.824,0,64,88,39
4,4.470369,37.376,161,64,88,31
5,4.470369,34.488,161,64,88,31
6,4.470369,30.24,161,64,88,31
7,4.470369,28.208,161,64,88,31
8,4.470369,30.384,161,64,88,31
9,4.470369,28.752,161,64,88,31
10,4.470369,27.608,161,64,88,31
11,4.424232,28.312,161,79,74,33
12,4.424232,25.184,161,79,74,33
13,4.424232,25.512,161,79,74,33
14,4.424232,29,161,79,74,33
15,4.424232,30.52,161,79,74,33
16,4.424232,26.2,161,79,74,33
17,4.384864,34.648,130,100,120,33
18,4.384864,25.112,130,100,120,33
19,4.384864,32.104,130,100,120,33
20,4.384864,34.92,130,100,120,33
21,4.384864,34.512,130,100,120,33
22,4.362723,32.448,219,74,100,38
23,4.362723,34.352,219,74,100,38
24,4.362723,28.416,219,74,100,38
25,4.362723,33.504,219,74,100,38
26,4.362723,26.36,219,74,100,38
27,4.362723,26.136,219,74,100,38
28,4.384864,22.08,139,62,80,13
29,4.384864,28.952,139,62,80,13
30,4.384864,27.352,139,62,80,13
31,4.384864,33.768,139,62,80,13
32,4.384864,36.648,139,62,80,13
33,4.384864,34.248,139,62,80,13
34,4.362723,32.024,130,75,80,23
35,4.362723,35.376,130,75,80,23
36,4.362723,34.272,130,75,80,23
37,4.362723,33.352,130,58,60,18
38,4.362723,34.872,130,58,60,18
39,4.362723,30.92,130,58,60,18
40,4.362723,27.16,130,58,60,18
41,4.384864,33.64,130,75,56,18
42,4.384864,24.048,130,75,56,18
43,4.384864,35.696,130,75,56,18
44,4.384864,37.096,130,75,56,18
45,4.384864,25.664,130,75,56,18
46,4.362723,34.232,170,76,95,12
47,4.362723,35.128,170,76,95,12
48,4.362723,31.792,170,76,95,12
49,4.362723,34.576,170,76,95,12
50,4.362723,33.768,170,76,95,12
51,4.362723,25.568,170,76,95,12
52,4.362723,31.96,170,73,75,16
53,4.362723,28.76,170,73,75,16
54,4.362723,38.568,170,73,75,16
55,4.362723,25.256,170,73,75,16
56,4.362723,30.048,170,73,75,16
57,4.362723,29.128,170,73,75,16
58,4.362723,40.568,170,73,75,16
59,4.362723,32.76,170,73,75,16
60,4.362723,29.096,250,134,118,16
61,4.362723,26.232,250,134,118,16
62,4.362723,25.696,250,134,118,16
63,4.362723,31.872,250,134,118,16
64,4.362723,38.32,250,134,118,16
65,4.362723,37.976,250,134,118,16
66,4.362723,32.944,128,68,98,36
67,4.362723,21.64,128,68,98,36
68,4.362723,28.104,128,68,98,36
69,4.362723,31.928,128,68,98,36
70,4.362723,34.616,128,68,98,36
71,4.362723,37.752,128,68,98,36
72,4.362723,33.384,148,69,78,16
73,4.362723,32.44,148,69,78,16
74,4.362723,34.976,148,69,78,16
75,4.362723,32.112,148,69,78,16
76,4.362723,30.176,148,69,78,16
77,4.362723,23.84,148,69,78,16
78,4.362723,25.192,148,82,110,41
79,4.362723,31.44,148,82,110,41
80,4.362723,28.088,148,82,110,41
81,4.362723,31.096,148,82,110,41
82,4.339,32.224,139,83,90,28
83,4.339,28.184,139,83,90,28
84,4.339,33.832,139,83,90,28
85,4.339,32.128,139,83,90,28
86,4.339,25.712,139,83,90,28
87,4.339,32.6,139,83,90,28
88,4.339,26.48,139,80,90,34
89,4.339,26.224,139,80,90,34
90,4.339,36.944,139,80,90,34
91,4.339,36.912,139,80,90,34
92,4.339,24.752,139,80,90,34
93,4.339,39.592,139,80,90,34
94,4.339,34.584,139,80,90,34
95,4.339,33.568,118,80,70,8
96,4.339,35.904,118,80,70,8
97,4.339,33.76,118,80,70,8
98,4.339,35.352,118,80,70,8
99,4.339,33.024,140,64,70,13
100,4.339,28.784,140,64,70,13
101,4.339,36.944,140,64,70,13
102,4.339,35.096,140,64,70,13
103,4.339,31.656,140,64,70,13
104,4.313737,25.816,120,69,50,16
105,4.313737,28.352,120,69,50,16
106,4.313737,32.408,120,69,50,16
107,4.313737,26.728,120,69,50,16
108,4.339,32.24,130,65,40,19
109,4.339,32.312,130,65,40,19
110,4.339,29.448,130,65,40,19
111,4.339,32.784,130,65,40,19
112,4.339,27.408,130,65,40,19
113,4.339,31.52,139,85,91,21
114,4.339,23.848,139,85,91,21
115,4.339,30.152,139,85,91,21
116,4.339,34.936,140,82,71,12
117,4.339,32.936,140,82,71,12
118,4.339,26.464,140,82,71,12
119,4.339,28.256,140,82,71,12
120,4.339,32.376,140,82,71,12
121,4.339,31.288,140,82,71,12
122,4.339,36.336,140,77,51,19
123,4.339,26.952,140,77,51,19
124,4.339,33.976,140,77,51,19
125,4.339,34.16,140,77,51,19
126,4.339,30.648,140,77,51,19
127,4.339,31.888,141,73,51,22
128,4.339,27.48,141,73,51,22
129,4.339,28.64,141,73,51,22
130,4.339,26,141,73,51,22
131,4.339,24.128,141,73,51,22
132,4.339,25.752,141,73,51,22
133,4.339,29.104,141,69,40,20
134,4.339,24.352,141,69,40,20
135,4.339,32.16,141,69,40,20
136,4.339,29.136,141,69,40,20
137,4.339,26.864,141,69,40,20
138,4.339,37.984,120,68,51,30
139,4.339,28.736,120,68,51,30
140,4.339,26.488,120,68,51,30
141,4.339,30.456,120,68,51,30
142,4.339,44.416,120,68,51,30
143,4.339,32.784,120,68,51,30
144,4.339,33.888,120,68,51,30
145,4.339,32.92,120,68,51,30
146,4.339,36.344,120,68,51,30
147,4.339,36.472,180,71,42,15
148,4.339,35.8,180,71,42,15
149,4.339,29.312,180,71,42,15
150,4.339,26.184,180,71,42,15
151,4.339,35.672,180,71,42,15
152,4.339,33.6,139,75,61,15
153,4.339,34.408,139,75,61,15
154,4.339,33.816,139,75,61,15
155,4.339,26.248,139,75,61,15
156,4.339,23.592,139,75,61,15
157,4.339,33.504,139,75,61,15
158,4.339,29.456,139,75,61,15
159,4.339,29.432,238,75,60,16
160,4.339,32.08,238,75,60,16
161,4.339,33.96,238,75,60,16
162,4.339,35.904,238,75,60,16
163,4.339,31.384,238,75,60,16
164,4.339,37.552,238,75,60,16
165,4.339,35.464,150,82,49,25
166,4.339,33.344,150,82,49,25
167,4.339,37.68,150,81,49,12
168,4.339,31.352,150,81,49,12
169,4.339,34.776,150,81,49,12
170,4.339,29.968,150,81,49,12
171,4.339,26.328,150,81,49,12
172,4.339,31.696,150,81,49,12
173,4.339,30.232,150,81,49,12
174,4.339,36.736,150,81,49,12
175,4.339,34.248,181,85,149,29
176,4.339,35.024,181,85,149,29
177,4.339,31.488,181,85,149,29
178,4.339,31.92,181,85,149,29
179,4.339,32.608,181,85,149,29
180,4.339,34.28,181,85,149,29
181,4.339,31.272,181,85,149,29
182,4.339,34.424,139,68,129,23
183,4.339,34.352,139,68,129,23
184,4.339,29.912,139,68,129,23
185,4.339,27.912,139,68,129,23
186,4.339,29.592,139,68,129,23
187,4.339,27.2,139,68,129,23
188,4.339,29.344,139,68,129,23
189,4.339,30.224,179,61,89,25
190,4.339,33.128,179,61,89,25
191,4.339,30.8,179,61,89,25
192,4.339,28.384,179,61,89,25
193,4.339,33.24,179,61,89,25
194,4.339,37.528,179,61,89,25
195,4.339,29.6,158,69,69,25
196,4.339,29.52,158,69,69,25
197,4.339,30.856,158,69,69,25
198,4.339,25.256,158,69,69,25
199,4.339,25.056,158,69,69,25
200,4.339,29.552,158,69,69,25
201,4.339,26.512,158,66,49,26
202,4.339,26.36,158,66,49,26
203,4.339,24.896,158,66,49,26
204,4.339,31.704,158,66,49,26
205,4.339,29.28,158,66,49,26
206,4.339,36.088,180,66,40,27
207,4.339,35.68,180,66,40,27
208,4.339,34.344,180,66,40,27
209,4.339,34.192,180,66,40,27
210,4.339,28.48,180,66,40,27
211,4.339,30.408,180,66,40,27
212,4.339,26.952,128,56,47,10
213,4.339,33.368,128,56,47,10
214,4.339,30.136,128,56,47,10
215,4.339,34.376,128,56,47,10
216,4.339,30.824,128,56,47,10
217,4.339,37.504,148,72,56,12
218,4.339,32.776,148,72,56,12
219,4.339,30.344,148,72,56,12
220,4.339,32.52,148,72,56,12
221,4.339,29.68,148,72,56,12
222,4.339,26.536,148,72,56,12
223,4.339,36.28,148,72,56,12
224,4.339,30.4,150,59,46,16
225,4.339,29.144,150,59,46,16
226,4.339,28.824,150,59,46,16
227,4.339,25.568,150,59,46,16
228,4.339,26.136,150,59,46,16
229,4.339,30.336,150,59,46,16
230,4.339,34.032,160,61,46,14
231,4.339,32.712,160,61,46,14
232,4.339,28.168,160,61,46,14
233,4.339,22.08,160,61,46,14
234,4.339,22.44,160,61,46,14
235,4.339,30.84,160,61,46,14
236,4.339,33.928,160,61,46,14
237,4.339,34.904,132,55,40,17
238,4.339,38.448,132,55,40,17
239,4.339,39.616,132,55,40,17
240,4.339,32.888,132,55,40,17
241,4.339,29.256,132,55,40,17
242,4.339,30.288,149,51,46,14
243,4.339,37.184,149,51,46,14
244,4.339,31.464,149,51,46,14
245,4.339,35.736,149,51,46,14
246,4.339,24.984,149,51,46,14
247,4.339,43.08,128,68,76,21
248,4.339,34.504,128,68,76,21
249,4.339,36.456,128,68,76,21
250,4.339,38.864,128,68,76,21
251,4.339,32.616,128,68,76,21
252,4.339,30.12,128,68,76,21
253,4.339,27.072,128,68,76,21
254,4.339,38.608,128,68,76,21
255,4.339,29.928,150,72,65,27
256,4.339,26.608,150,72,65,27
257,4.339,28.176,150,72,65,27
258,4.339,22.52,150,72,65,27
259,4.339,21.68,150,72,65,27
260,4.339,34.304,150,72,65,27
261,4.339,36.024,150,63,64,17
262,4.339,35.792,150,63,64,17
263,4.339,39.504,150,63,64,17
264,4.339,28.632,150,70,64,30
265,4.339,32.432,150,70,64,30
266,4.339,22.352,150,70,64,30
267,4.339,34.52,150,70,64,30
268,4.339,31.528,150,70,64,30
269,4.339,23.816,150,70,64,30
270,4.339,22.72,150,70,64,30
271,4.339,37.76,150,70,64,30
272,4.339,26.68,180,61,40,25
273,4.339,26.984,180,61,40,25
274,4.339,38.632,180,61,40,25
275,4.339,22.464,180,61,40,25
276,4.339,22.08,180,61,40,25
277,4.339,25.96,138,67,54,30
278,4.339,35.808,138,67,54,30
279,4.339,36,138,67,54,30
280,4.339,34.728,138,67,54,30
281,4.339,33.12,138,67,54,30
282,4.339,35.776,138,67,40,15
283,4.339,24.568,138,67,40,15
284,4.339,28.712,138,67,40,15
285,4.339,30.448,138,67,40,15
286,4.339,29.152,138,67,40,15
287,4.339,36.728,138,67,40,15
288,4.339,34.504,138,67,40,15
289,4.339,36.2,139,70,54,36
290,4.339,31.808,139,70,54,36
291,4.339,33.112,139,70,54,36
292,4.339,32.632,139,70,54,36
293,4.339,35.056,148,61,43,36
294,4.339,26.096,148,61,43,36
295,4.339,38.752,148,61,43,36
296,4.339,31.224,148,61,43,36
297,4.339,30.496,148,61,43,36
298,4.339,30.664,220,73,53,34
299,4.339,32.288,220,73,53,34
300,4.339,38.048,220,73,53,34
301,4.339,38.792,220,73,53,34
302,4.339,29.312,220,73,53,34
303,4.339,46.688,220,73,53,34
304,4.339,32.584,150,80,93,29
305,4.339,16.44,150,80,93,29
306,4.339,42.464,150,80,93,29
307,4.339,34.56,150,80,93,29
308,4.339,38.44,150,80,93,29
309,4.339,28.16,150,80,93,29
310,4.339,41.68,150,149,201,21
311,4.339,26.632,150,149,201,21
312,4.339,45.816,150,149,201,21
313,4.339,29.104,150,149,201,21
314,4.339,24.584,150,149,201,21
315,4.339,24.888,150,149,201,21
316,4.339,39.256,150,149,201,21
317,4.339,33.568,522,147,250,17
318,4.339,30.728,522,147,250,17
319,4.339,33.472,522,147,250,17
320,4.339,25.232,522,147,250,17
321,4.339,34.104,522,147,250,17
322,4.339,34.728,522,147,250,17
323,4.339,28.824,522,147,250,17
324,4.339,30.904,522,147,250,17
325,4.313737,31.76,340,102,230,30
326,4.313737,33.928,340,102,230,30
327,4.313737,35.544,340,102,230,30
328,4.313737,35.184,340,102,230,30
329,4.313737,31.544,340,102,230,30
330,4.313737,30.624,340,102,230,30
331,4.313737,26.072,340,102,230,30
332,4.313737,26.328,340,102,230,30
333,4.313737,29.472,131,64,190,13
334,4.313737,27.2,131,64,190,13
335,4.313737,27.712,131,64,190,13
336,4.313737,30.312,131,64,190,13
337,4.313737,31.272,131,64,190,13
338,4.313737,28.424,131,63,170,18
339,4.313737,26.216,131,63,170,18
340,4.313737,25.8,131,63,170,18
341,4.313737,32.16,131,63,170,18
342,4.313737,29.632,131,63,170,18
343,4.313737,35.248,131,63,170,18
344,4.313737,28.936,128,79,150,22
345,4.313737,26.768,128,79,150,22
346,4.313737,33.568,128,79,150,22
347,4.313737,25.608,128,64,130,26
348,4.313737,26.432,128,64,130,26
349,4.313737,27.936,128,64,130,26
350,4.313737,35.84,128,64,130,26
